OBJECTID,APPLICATION_NAME,APPLICATION,STATUS,LDS_STATUS,FAR,NUM_OF_BUI,OptionType,D_TOTALS,D_Office,D_Retail,D_Hotel,D_Inst,D_Indus,D_NonResGFA,D_ResGFA,D_ResDU,Ex_Office,Ex_Retail,Ex_Hotel,Ex_Inst,Ex_Indus,Ex_NonRes,Ex_ResGFA,Ex_ResDu
1,1941 & 1950 Roland Clark Place,DPA HM-117-03,CDP Proposed,UNDER REVIEW,2.3,2,No,744418,0,0,0,0,0,0,744418,699,116997,0,0,0,0,116997,0,0
2,JBG/EYA (block C),RZ 2016-HM-024,FDP Proposed,UNDER REVIEW,2.2,8,MaxRes,1784801,259845,183555,0,0,0,443400,1341401,1017,303857,0,0,0,0,303857,0,0
3,Association Drive,Association Drive,Pre-App,PREAPP ACTIVE,1.5,7,No,2069641,225000,206857,0,97360,0,529217,1540424,1147,211853,0,0,0,0,211853,0,0
4,Lowe 11493 Sunset Hills,Lowe 11493 Sunset Hills,Pre-App,PREAPP ACTIVE,1.5,3,No,616884,260000,30000,0,0,0,290000,326884,800,181392,0,0,0,0,181392,0,0
5,Boston Properties LP,PCA 86-C-119-07,FDP Proposed,ACCEPTED,3.2,11,No,4843600,2234000,162600,509000,0,0,2905600,1938000,2010,662943,0,0,0,0,662943,0,0
6,Brandywine Wood Oak,RZ 2018-MD-003,FDP Proposed,UNDER REVIEW,0.6,4,No,433585,397085,36500,0,0,0,433585,0,0,239885,0,0,0,0,239885,0,0
7,Golf Course Overlook,RZ 2016-HM-016,FDP Proposed,UNDER REVIEW,0.0,1,No,371548,0,2500,0,0,0,2500,369048,413,34383,0,0,0,0,34383,0,0
8,AAFMA,PCA 78-C-098-04,FDP Proposed,UNDER REVIEW,0.6,3,No,144583,144583,0,0,0,0,144583,0,0,67952,0,0,0,0,67952,0,0
9,RP 11111 Sunset Hills LLC,RZ 2017-HM-006,FDP Proposed,UNDER REVIEW,1.5,4,Both,649122,315783,40000,93339,0,0,449122,200000,188,222444,0,0,0,0,222444,0,0
10,Michael Faraday Partners,RZ 2017-HM-009,FDP Proposed,UNDER REVIEW,2.3,1,No,285845,0,0,0,0,0,0,285845,261,0,0,0,0,26591,26591,0,0
11,CoreSite,RZ 2017-HM-032,FDP Proposed,ACCEPTED,1.0,8,No,943600,234518,0,0,0,0,234518,0,0,253470,0,0,0,62592,316062,0,0
13,Linden,RZ 2016-HM-004,FDP Proposed,UNDER REVIEW,2.0,3,MaxRes,545950,0,12000,0,0,0,12000,533950,593,32950,0,0,0,52575,85525,0,0
14,Campus Commons,RZ 2017-HM-018,FDP Proposed,UNDER REVIEW,2.7,6,Both,1389430,410090,30600,0,0,0,440690,948740,877,240425,0,0,0,0,240425,0,0
15,Reston Crossing,RZ 2018-HM-002,FDP Proposed,ACCEPTED,3.2,6,MaxRes,1965000,750000,65000,0,0,0,815000,1150000,1190,331280,0,0,0,0,331280,0,0
16,Reston Crescent,RZ 2016-HM-007,FDP Proposed,UNDER REVIEW,2.7,8,No,4161940,1885940,380000,125000,0,0,2390940,1771000,1721,385024,0,0,0,0,385024,0,0
17,Pulte Home Corporation,RZ 2016-HM-031,FDP Pending,PENDING,0.9,2,No,203166,103166,0,0,0,0,103166,100000,40,103166,0,0,0,0,103166,0,0
18,Reston Town Center North,RZ 2017-HM-020,FDP Proposed,UNDER REVIEW,1.9,8,No,3980682,0,674741,0,780841,0,1455582,2525100,2332,13452,0,0,273148,0,286600,0,0
19,JBG Reston Executive Center (RTC West),RZ 2016-HM-017,FDP Proposed,UNDER REVIEW,3.1,10,No,1885372,1061568,90100,0,70954,0,1222622,662750,576,533268,0,0,0,0,533268,0,0
12,Reston Corner,RZ 2018-HM-004,FDP Proposed,UNDER REVIEW,0.9,1,No,174642,0,1500,0,0,0,1500,173142,145,0,0,0,0,0,0,0,0
